probe,gene,gsm,tumor,expression,mean,std,z_score
ILMN_1652472,braf,GSM4003612,NN,480.2527,383.5986412,43.06818356,2.244210246
ILMN_1652472,braf,GSM4003614,NN,361.9416,383.5986412,43.06818356,-0.502854762
ILMN_1652472,braf,GSM4003845,NN,434.8678,383.5986412,43.06818356,1.190418415
ILMN_1690278,dlec1,GSM4003149,BN,284.1143,252.3509714,53.77402846,0.590681589
ILMN_1690278,dlec1,GSM4003303,BN,217.615,252.3509714,53.77402846,-0.64596186
ILMN_1690278,dlec1,GSM4003466,BN,369.4876,252.3509714,53.77402846,2.178312318
ILMN_1690278,dlec1,GSM4003469,BN,370.0153,252.3509714,53.77402846,2.188125605
ILMN_1690278,dlec1,GSM4003594,BN,235.1403,252.3509714,53.77402846,-0.32005546
ILMN_1690278,dlec1,GSM4003600,BN,233.262,252.3509714,53.77402846,-0.354984962
ILMN_1690278,dlec1,GSM4003635,BN,236.5259,252.3509714,53.77402846,-0.294288375
ILMN_1690278,dlec1,GSM4003639,BN,209.5412,252.3509714,53.77402846,-0.796104972
ILMN_1690278,dlec1,GSM4003640,BN,215.2811,252.3509714,53.77402846,-0.689363853
ILMN_1690278,dlec1,GSM4003641,BN,228.9737,252.3509714,53.77402846,-0.434731637
ILMN_1690278,dlec1,GSM4003648,BN,238.3732,252.3509714,53.77402846,-0.25993536
ILMN_1690278,dlec1,GSM4003654,BN,212.0488,252.3509714,53.77402846,-0.749472795
ILMN_1690278,dlec1,GSM4003658,BN,218.0263,252.3509714,53.77402846,-0.638313186
ILMN_1690278,dlec1,GSM4003709,BN,264.5089,252.3509714,53.77402846,0.226092947
ILMN_1690278,dlec1,GSM4003150,MN,265.7221,293.4932917,76.72004713,-0.361980899
ILMN_1690278,dlec1,GSM4003175,MN,242.0175,293.4932917,76.72004713,-0.670956205
ILMN_1690278,dlec1,GSM4003178,MN,209.1727,293.4932917,76.72004713,-1.099068559
ILMN_1690278,dlec1,GSM4003196,MN,338.3985,293.4932917,76.72004713,0.585312575
ILMN_1690278,dlec1,GSM4003229,MN,282.8038,293.4932917,76.72004713,-0.139331141
ILMN_1690278,dlec1,GSM4003250,MN,364.3204,293.4932917,76.72004713,0.923189062
ILMN_1690278,dlec1,GSM4003263,MN,326.4568,293.4932917,76.72004713,0.429659647
ILMN_1690278,dlec1,GSM4003269,MN,357.0458,293.4932917,76.72004713,0.828368995
ILMN_1690278,dlec1,GSM4003270,MN,381.0309,293.4932917,76.72004713,1.14100045
ILMN_1690278,dlec1,GSM4003280,MN,366.0045,293.4932917,76.72004713,0.9451403
ILMN_1690278,dlec1,GSM4003312,MN,125.215,293.4932917,76.72004713,-2.193407042
ILMN_1690278,dlec1,GSM4003381,MN,228.4552,293.4932917,76.72004713,-0.847732687
ILMN_1690278,dlec1,GSM4003402,MN,310.5847,293.4932917,76.72004713,0.222776301
ILMN_1690278,dlec1,GSM4003456,MN,364.5134,293.4932917,76.72004713,0.925704702
ILMN_1690278,dlec1,GSM4003457,MN,342.1432,293.4932917,76.72004713,0.634122503
ILMN_1690278,dlec1,GSM4003458,MN,380.2214,293.4932917,76.72004713,1.130449101
